R64,R32,S16,E8,F4,NCG
1Gonzaga-97.4%,1Gonzaga-91.3%,1Gonzaga-81.8%,1Gonzaga-65.7%,1Gonzaga-51.8%,1Gonzaga-34.4%
1Michigan-96.9%,1Illinois-85.6%,1Illinois-68.4%,1Illinois-52.0%,1Illinois-31.5%,1Illinois-15.2%
1Baylor-96.6%,1Baylor-81.7%,1Baylor-68.0%,1Baylor-47.8%,1Baylor-26.8%,1Baylor-10.4%
1Illinois-96.3%,1Michigan-81.2%,1Michigan-60.2%,1Michigan-37.8%,1Michigan-13.7%,1Michigan-7.8%
2Ohio State-95.2%,2Ohio State-79.5%,2Ohio State-54.5%,2Alabama-23.1%,2Ohio State-9.4%,2Iowa-3.7%
2Houston-94.9%,2Houston-78.2%,2Iowa-51.6%,2Ohio State-22.7%,2Houston-8.4%,2Ohio State-3.5%
2Iowa-94.2%,2Iowa-77.6%,2Houston-48.4%,2Houston-17.6%,2Iowa-8.1%,2Houston-3.3%
2Alabama-93.9%,2Alabama-74.2%,2Alabama-46.1%,3Texas-15.5%,2Alabama-6.6%,2Alabama-3.0%
3Kansas-92.1%,3Texas-68.2%,3Texas-32.7%,2Iowa-14.4%,4Oklahoma State-4.0%,3Kansas-1.9%
3West Virginia-91.8%,3Kansas-64.5%,3West Virginia-30.3%,4Florida State-8.9%,3Kansas-3.9%,3Texas-1.6%
3Texas-91.4%,3West Virginia-60.8%,3Kansas-28.5%,4Oklahoma State-8.8%,3Texas-3.8%,4Oklahoma State-1.5%
4Florida State-89.1%,4Florida State-59.1%,4Florida State-20.8%,3West Virginia-8.1%,3West Virginia-3.1%,3West Virginia-1.1%
4Purdue-87.5%,4Oklahoma State-55.1%,3Arkansas-20.5%,3Kansas-7.5%,3Arkansas-2.5%,3Arkansas-0.9%
3Arkansas-84.6%,3Arkansas-52.0%,4Oklahoma State-14.1%,3Arkansas-6.9%,5Villanova-2.4%,4Florida State-0.9%
4Oklahoma State-84.3%,4Virginia-50.8%,6Texas Tech-13.5%,5Villanova-5.2%,4Florida State-2.2%,4Virginia-0.9%
6USC-78.7%,4Purdue-49.9%,4Purdue-10.3%,4Purdue-4.3%,4Virginia-1.8%,5Villanova-0.8%
5Tennessee-78.4%,5Villanova-38.8%,5Villanova-10.0%,6Texas Tech-4.1%,4Purdue-1.5%,8North Carolina-0.8%
4Virginia-76.8%,6Texas Tech-36.3%,6USC-9.0%,4Virginia-3.9%,5Tennessee-1.4%,4Purdue-0.6%
6Texas Tech-76.1%,5Tennessee-34.5%,6San Diego State-8.5%,5Tennessee-3.7%,8North Carolina-1.4%,5Tennessee-0.6%
5Villanova-73.1%,5Creighton-31.9%,5Tennessee-8.4%,8North Carolina-2.8%,6Texas Tech-1.4%,6Texas Tech-0.5%
5Creighton-72.3%,6USC-28.3%,4Virginia-8.1%,7UConn-2.7%,7UConn-0.8%,7UConn-0.4%
6BYU-65.8%,5Colorado-23.6%,7UConn-7.0%,5Colorado-2.5%,6San Diego State-0.7%,8LSU-0.3%
7Oregon-65.2%,6San Diego State-23.6%,6BYU-6.9%,6BYU-2.1%,5Creighton-0.7%,5Creighton-0.3%
